tau,sign_agreement,p_harm_given_highK,p_improve_given_lowK,n_high,n_low
0.3,0.18571428571428572,0.18994413407821228,0.18128654970760233,179,171
0.32,0.18571428571428572,0.18994413407821228,0.18128654970760233,179,171
0.34,0.18571428571428572,0.18994413407821228,0.18128654970760233,179,171
0.36000000000000004,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.38000000000000006,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.4000000000000001,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.4200000000000001,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.4400000000000001,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.46000000000000013,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.48000000000000015,0.18285714285714286,0.1864406779661017,0.1791907514450867,177,173
0.5000000000000002,0.18571428571428572,0.19161676646706588,0.18032786885245902,167,183
0.5200000000000002,0.18571428571428572,0.19161676646706588,0.18032786885245902,167,183
0.5400000000000003,0.18571428571428572,0.19161676646706588,0.18032786885245902,167,183
0.5600000000000003,0.18571428571428572,0.19393939393939394,0.1783783783783784,165,185
0.5800000000000003,0.18571428571428572,0.19393939393939394,0.1783783783783784,165,185
0.6000000000000003,0.19142857142857142,0.2064516129032258,0.1794871794871795,155,195
0.6200000000000003,0.19142857142857142,0.2064516129032258,0.1794871794871795,155,195
0.6400000000000003,0.19142857142857142,0.2064516129032258,0.1794871794871795,155,195
0.6600000000000004,0.19142857142857142,0.21052631578947367,0.17676767676767677,152,198
0.6800000000000004,0.19142857142857142,0.21052631578947367,0.17676767676767677,152,198
0.7000000000000004,0.19142857142857142,0.20945945945945946,0.1782178217821782,148,202
0.7200000000000004,0.19142857142857142,0.20945945945945946,0.1782178217821782,148,202
0.7400000000000004,0.19142857142857142,0.20945945945945946,0.1782178217821782,148,202
0.7600000000000005,0.19142857142857142,0.22388059701492538,0.1712962962962963,134,216
0.7800000000000005,0.19142857142857142,0.22388059701492538,0.1712962962962963,134,216
0.8000000000000005,0.14285714285714285,0.1320754716981132,0.1447811447811448,53,297
0.8200000000000005,0.14285714285714285,0.1320754716981132,0.1447811447811448,53,297
0.8400000000000005,0.14285714285714285,0.1320754716981132,0.1447811447811448,53,297
0.8600000000000005,0.13714285714285715,0.11764705882352941,0.13813813813813813,17,333
0.8800000000000006,0.13714285714285715,0.11764705882352941,0.13813813813813813,17,333
0.9000000000000006,0.13714285714285715,0.0,0.13872832369942195,4,346
0.9200000000000006,0.13714285714285715,0.0,0.13872832369942195,4,346
0.9400000000000006,0.13714285714285715,0.0,0.13872832369942195,4,346
